         25051 function calls (24971 primitive calls) in 0.046 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       35    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\numpy\core\_ufunc_config.py:426(__init__)
       10    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\utils\_array_api.py:177(_is_numpy_namespace)
       10    0.000    0.000    0.000    0.000 D:\Python\Lib\enum.py:197(__get__)
       15    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\utils\_param_validation.py:525(is_satisfied_by)
       35    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\numpy\core\fromnumeric.py:2172(_sum_dispatcher)
       15    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\utils\validation.py:288(_is_arraylike)
       19    0.000    0.000    0.000    0.000 D:\Python\Lib\re\_parser.py:164(__len__)
       20    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
        5    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\numpy\core\fromnumeric.py:1025(argsort)
        5    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\feature_extraction\text.py:323(build_preprocessor)
        5    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\scipy\sparse\_base.py:1276(_process_toarray_args)
        5    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\scipy\sparse\_compressed.py:126(_set_self)
       50    0.000    0.000    0.000    0.000 D:\Python\Lib\inspect.py:2786(default)
       10    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\utils\_param_validation.py:694(<genexpr>)
        5    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\scipy\sparse\_compressed.py:719(_major_slice)
       35    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\utils\validation.py:1132(_check_large_sparse)
        5    0.000    0.000    0.000    0.000 {method 'min' of 'numpy.ndarray' objects}
        5    0.000    0.000    0.000    0.000 D:\Python\Lib\site-packages\sklearn\feature_extraction\text.py:519(_warn_for_unused_params)
       11    0.000    0.000    0.000    0.000 D:\Python\Lib\re\_parser.py:293(tell)
       40    0.000    0.000    0.000    0.000 D:\Python\Lib\inspect.py:3075(parameters)
